adsorbate,adsorbate_name,config,e_int_dft,e_int_ave
A18,13-CO-COH-COH,3,-0.779018,-0.6172314
A18,13-CO-COH-COH,4,-0.813358,-0.6172314
A19,13-COH-COH,0,-0.666654,-0.7017382
A19,13-COH-COH,1,-0.853372,-0.7017382
A19,13-COH-COH,2,-0.54662,-0.7017382
A19,13-COH-COH,3,-0.737266,-0.7017382
A19,13-COH-COH,4,-0.704779,-0.7017382
A20,14-C-CHOH-CH2OH,0,-0.295233,-0.4812752
A20,14-C-CHOH-CH2OH,1,-0.563623,-0.4812752
A20,14-C-CHOH-CH2OH,2,-0.393569,-0.4812752
A20,14-C-CHOH-CH2OH,3,-0.540174,-0.4812752
A20,14-C-CHOH-CH2OH,4,-0.613777,-0.4812752
A21,14-COH-CHOH-CH2OH,0,-0.966828,-0.7780506
A21,14-COH-CHOH-CH2OH,1,-0.741106,-0.7780506
A21,14-COH-CHOH-CH2OH,2,-0.625623,-0.7780506
A21,14-COH-CHOH-CH2OH,3,-0.836088,-0.7780506
A21,14-COH-CHOH-CH2OH,4,-0.720608,-0.7780506
A22,15-CHOH-C-CHOH,0,-0.662092,-0.7408346
A22,15-CHOH-C-CHOH,1,-0.566445,-0.7408346
A22,15-CHOH-C-CHOH,2,-0.975244,-0.7408346
A22,15-CHOH-C-CHOH,3,-0.832338,-0.7408346
A22,15-CHOH-C-CHOH,4,-0.668054,-0.7408346
A23,16-C-COH-CHOH,0,-0.896516,-0.7994514
A23,16-C-COH-CHOH,1,-0.796228,-0.7994514
A23,16-C-COH-CHOH,2,-0.679999,-0.7994514
A23,16-C-COH-CHOH,3,-0.927843,-0.7994514
A23,16-C-COH-CHOH,4,-0.696671,-0.7994514
A24,17-C-CO-CH2OH,0,-0.386052,-0.3647522
A24,17-C-CO-CH2OH,1,-0.335238,-0.3647522
A24,17-C-CO-CH2OH,2,-0.326757,-0.3647522
A24,17-C-CO-CH2OH,3,-0.401531,-0.3647522
A24,17-C-CO-CH2OH,4,-0.374183,-0.3647522
A25,17-COH-CO-CH2OH,0,-0.931885,-0.9453422
A25,17-COH-CO-CH2OH,1,-0.960068,-0.9453422
A25,17-COH-CO-CH2OH,2,-0.922753,-0.9453422
A25,17-COH-CO-CH2OH,3,-0.973824,-0.9453422
A25,17-COH-CO-CH2OH,4,-0.938181,-0.9453422
A26,18-C-COH-COH,0,-0.581627,-0.5782058
A26,18-C-COH-COH,1,-0.611075,-0.5782058
A26,18-C-COH-COH,2,-0.613675,-0.5782058
A26,18-C-COH-COH,3,-0.40059,-0.5782058
A26,18-C-COH-COH,4,-0.684062,-0.5782058
A27,0111-OH,0,-0.10914,-0.2274892
A27,0111-OH,1,-0.263853,-0.2274892
A27,0111-OH,2,-0.336767,-0.2274892
A27,0111-OH,3,-0.069842,-0.2274892
A27,0111-OH,4,-0.357844,-0.2274892
A28,0211-H2O,0,-0.507731,-0.5538718
A28,0211-H2O,1,-0.365036,-0.5538718
A28,0211-H2O,2,-0.405267,-0.5538718
A28,0211-H2O,3,-0.801541,-0.5538718
A28,0211-H2O,4,-0.689784,-0.5538718
A29,1101-CH,0,0.043255,-0.0242704
A29,1101-CH,1,-0.104675,-0.0242704
A29,1101-CH,2,-0.086798,-0.0242704
A29,1101-CH,3,0.084835,-0.0242704
A29,1101-CH,4,-0.057969,-0.0242704
A30,1111-CHO,0,-0.179914,-0.1152958
A30,1111-CHO,1,-0.196578,-0.1152958
A30,1111-CHO,2,-0.077085,-0.1152958
A30,1111-CHO,3,-0.083541,-0.1152958
A30,1111-CHO,4,-0.039361,-0.1152958
A31,1121-HCOO,0,-0.20235,-0.2228382
A31,1121-HCOO,1,-0.213074,-0.2228382
A31,1121-HCOO,2,-0.204042,-0.2228382
A31,1121-HCOO,3,-0.19694,-0.2228382
A31,1121-HCOO,4,-0.297785,-0.2228382
A32,1122-COOH,0,-0.203602,-0.3208796
A32,1122-COOH,1,-0.456768,-0.3208796
A32,1122-COOH,2,-0.329738,-0.3208796
A32,1122-COOH,3,-0.446447,-0.3208796
A32,1122-COOH,4,-0.167843,-0.3208796
A33,1201-CH2,0,-0.000355,-0.0484886
A33,1201-CH2,1,-0.076802,-0.0484886
A33,1201-CH2,2,-0.022974,-0.0484886
A33,1201-CH2,3,-0.038096,-0.0484886
A33,1201-CH2,4,-0.104216,-0.0484886
A34,1211-CH2O,0,-0.181465,-0.1548912
A34,1211-CH2O,1,-0.174903,-0.1548912
A34,1211-CH2O,2,-0.15245,-0.1548912
A34,1211-CH2O,3,-0.123196,-0.1548912
A34,1211-CH2O,4,-0.142442,-0.1548912
A35,1212-CHOH,0,-0.131088,-0.1458856
A35,1212-CHOH,1,-0.18164,-0.1458856
A35,1212-CHOH,2,-0.105306,-0.1458856
A35,1212-CHOH,3,-0.072567,-0.1458856
A35,1212-CHOH,4,-0.238827,-0.1458856
A36,1221-HCOOH,0,-0.636696,-0.5711762
A36,1221-HCOOH,1,-0.606023,-0.5711762
A36,1221-HCOOH,2,-0.565947,-0.5711762
A36,1221-HCOOH,3,-0.44189,-0.5711762
A36,1221-HCOOH,4,-0.605325,-0.5711762
A37,1301-CH3,0,-0.114472,-0.0810396
A37,1301-CH3,1,-0.092262,-0.0810396
A37,1301-CH3,2,-0.077597,-0.0810396
A37,1301-CH3,3,-0.085452,-0.0810396
A37,1301-CH3,4,-0.035415,-0.0810396
A38,1401-CH4,0,-0.141805,-0.1187314
A38,1401-CH4,1,-0.128424,-0.1187314
A38,1401-CH4,2,-0.104806,-0.1187314
A38,1401-CH4,3,-0.103935,-0.1187314
A38,1401-CH4,4,-0.114687,-0.1187314
A39,1411-CH3OH,0,-0.40007,-0.5019464
A39,1411-CH3OH,1,-0.342292,-0.5019464
A39,1411-CH3OH,2,-0.524087,-0.5019464
A39,1411-CH3OH,3,-0.621991,-0.5019464
A39,1411-CH3OH,4,-0.621292,-0.5019464
A40,2001-C2,0,-0.093676,-0.0565576
A40,2001-C2,1,-0.028856,-0.0565576
A40,2001-C2,2,0.004673,-0.0565576
A40,2001-C2,3,-0.059013,-0.0565576
A40,2001-C2,4,-0.105916,-0.0565576
A41,2011-CCO,0,-0.169478,-0.147594
A41,2011-CCO,1,-0.157236,-0.147594
A41,2011-CCO,2,-0.102325,-0.147594
A41,2011-CCO,3,-0.141108,-0.147594
A41,2011-CCO,4,-0.167823,-0.147594
A42,2021-OCCO,0,-0.0918,-0.1960874
A42,2021-OCCO,1,-0.171908,-0.1960874
A42,2021-OCCO,2,-0.253937,-0.1960874
A42,2021-OCCO,3,-0.149905,-0.1960874
A42,2021-OCCO,4,-0.312887,-0.1960874
A43,2101-C2H,0,-0.218421,-0.1893778
A43,2101-C2H,1,-0.226702,-0.1893778
A43,2101-C2H,2,-0.125762,-0.1893778
A43,2101-C2H,3,-0.175404,-0.1893778
A43,2101-C2H,4,-0.2006,-0.1893778
A44,2111-CHCO,0,-0.22503,-0.47957
A44,2111-CHCO,1,-0.3495,-0.47957
A44,2111-CHCO,2,-0.49398,-0.47957
A44,2111-CHCO,3,-0.85572,-0.47957
A44,2111-CHCO,4,-0.47361,-0.47957
A45,2112-CCHO,0,-0.179509,-0.219108
A45,2112-CCHO,1,-0.254914,-0.219108
A45,2112-CCHO,2,-0.122288,-0.219108
A45,2112-CCHO,3,-0.342353,-0.219108
A45,2112-CCHO,4,-0.196476,-0.219108
A46,2113-CCOH,0,-0.511369,-0.4755312
A46,2113-CCOH,1,-0.493709,-0.4755312
A46,2113-CCOH,2,-0.569288,-0.4755312
A46,2113-CCOH,3,-0.482007,-0.4755312
A46,2113-CCOH,4,-0.321283,-0.4755312
A47,2121-OCCHO,0,-0.227841,-0.2116592
A47,2121-OCCHO,1,-0.137594,-0.2116592
A47,2121-OCCHO,2,-0.296385,-0.2116592
A47,2121-OCCHO,3,-0.237285,-0.2116592
A47,2121-OCCHO,4,-0.159191,-0.2116592
A48,2122-OCCOH,0,-0.36562,-0.2864
A48,2122-OCCOH,1,-0.14662,-0.2864
A48,2122-OCCOH,2,-0.377629,-0.2864
A48,2122-OCCOH,3,-0.453906,-0.2864
A48,2122-OCCOH,4,-0.088225,-0.2864
A49,2201-CH2C,0,-0.126795,-0.150314
A49,2201-CH2C,1,-0.162201,-0.150314
A49,2201-CH2C,2,-0.118996,-0.150314
A49,2201-CH2C,3,-0.096451,-0.150314
A49,2201-CH2C,4,-0.247127,-0.150314
A50,2202-CHCH,0,-0.183451,-0.16482
A50,2202-CHCH,1,-0.007247,-0.16482
A50,2202-CHCH,2,-0.25748,-0.16482
A50,2202-CHCH,3,-0.224579,-0.16482
A50,2202-CHCH,4,-0.151343,-0.16482
A51,2211-CH2CO,0,-0.268612,-0.246434
A51,2211-CH2CO,1,-0.254798,-0.246434
A51,2211-CH2CO,2,-0.286066,-0.246434
A51,2211-CH2CO,3,-0.254874,-0.246434
A51,2211-CH2CO,4,-0.16782,-0.246434
A52,2212-CHCHO,0,-0.25864,-0.2540746
A52,2212-CHCHO,1,-0.254124,-0.2540746
A52,2212-CHCHO,2,-0.264223,-0.2540746
A52,2212-CHCHO,3,-0.307925,-0.2540746
A52,2212-CHCHO,4,-0.185461,-0.2540746
A53,2213-CCH2O,0,-0.170307,-0.2308154
A53,2213-CCH2O,1,-0.153938,-0.2308154
A53,2213-CCH2O,2,-0.362471,-0.2308154
A53,2213-CCH2O,3,-0.28335,-0.2308154
A53,2213-CCH2O,4,-0.184011,-0.2308154
A54,2214-CHCOH,0,-0.548382,-0.4569796
A54,2214-CHCOH,1,-0.311801,-0.4569796
A54,2214-CHCOH,2,-0.462157,-0.4569796
A54,2214-CHCOH,3,-0.639327,-0.4569796
A54,2214-CHCOH,4,-0.323231,-0.4569796
A55,2215-CCHOH,0,-0.125355,-0.1841784
A55,2215-CCHOH,1,-0.266758,-0.1841784
A55,2215-CCHOH,2,-0.123804,-0.1841784
A55,2215-CCHOH,3,-0.104894,-0.1841784
A55,2215-CCHOH,4,-0.300081,-0.1841784
A56,2221-OCHCHO,0,-0.379252,-0.3985046
A56,2221-OCHCHO,1,-0.294398,-0.3985046
A56,2221-OCHCHO,2,-0.345936,-0.3985046
A56,2221-OCHCHO,3,-0.430059,-0.3985046
A56,2221-OCHCHO,4,-0.542878,-0.3985046
A57,2222-OCCH2O,0,-0.099928,-0.3011764
A57,2222-OCCH2O,1,-0.372826,-0.3011764
A57,2222-OCCH2O,2,-0.411726,-0.3011764
A57,2222-OCCH2O,3,-0.342501,-0.3011764
A57,2222-OCCH2O,4,-0.278901,-0.3011764
