adsorbate,adsorbate_name,e_int_dft,e_int_md,TS_MD,delta_F,delta_F_md
A64,2313-CHCH2O,-0.3248764,-0.26,-0.2372,-0.0876764,-0.0228
A65,2314-CH2COH,-0.2590072,-0.23,-0.2186,-0.0404072,-0.0114
A66,2315-CHCHOH,-0.5092946,-0.44,-0.3227,-0.1865946,-0.1173
A67,2316-CCH2OH,-0.3044872,-0.25,-0.2278,-0.0766872,-0.0222
A68,2321-OCH2CHO,-0.5033062,-0.38,-0.308,-0.1953062,-0.072
A69,2322-HOCCH2O,-0.1716602,-0.22,-0.1994,0.0277398,-0.0206
A70,2323-HOCHCHO,-0.3609354,-0.33,-0.2698,-0.0911354,-0.0602
A71,2324-OHCH2CO,-0.337057,-0.21,-0.1829,-0.154157,-0.0271
A72,2401-CH3CH,-0.2204074,-0.2,-0.209,-0.0114074,0.009
A73,2402-CH2CH2,-0.1961602,-0.14,-0.157,-0.0391602,0.017
A74,2411-CH3CHO,-0.2562666,-0.21,-0.2088,-0.0474666,-0.0012
A75,2412-CH2CH2O,-0.3338846,-0.26,-0.2343,-0.0995846,-0.0257
A76,2413-CH3COH,-0.239339,-0.2,-0.2159,-0.023439,0.0159
A77,2414-CH2CHOH,-0.5359778,-0.39,-0.3125,-0.2234778,-0.0775
A78,2415-CHCH2OH,-0.341384,-0.34,-0.3023,-0.039084,-0.0377
A79,2421-OCH2CH2O,-0.395172,-0.36,-0.3359,-0.059272,-0.0241
A80,2422-HOCHCH2O,-0.4086872,-0.33,-0.2852,-0.1234872,-0.0448
A81,2423-HOCH2CHO,-0.405525,-0.37,-0.3261,-0.079425,-0.0439
A82,2424-HOCH2COH,-0.2051726,-0.23,-0.2377,0.0325274,0.0077
A83,2425-HOCHCHOH,-0.5202918,-0.48,-0.396,-0.1242918,-0.084
A84,2501-CH3CH2,-0.1789938,-0.13,-0.1566,-0.0223938,0.0266
A85,2511-CH3CH2O,-0.2234094,-0.22,-0.2466,0.0231906,0.0266
A86,2512-CH3CHOH,-0.417232,-0.27,-0.2516,-0.165632,-0.0184
A87,2513-CH2CH2OH,-0.4114582,-0.36,-0.3241,-0.0873582,-0.0359
A88,2522-HOCH2CHOH,-0.94683,-0.7,-0.5795,-0.36733,-0.1205
A89,2601-CH3CH3,-0.1900038,-0.12,-0.1792,-0.0108038,0.0592
A90,2611-CH3CH2OH,-0.4189888,-0.36,-0.3425,-0.0764888,-0.0175
