adsorbate,sm_0,sm_1,sm_2,sm_3,sm_4,sm_5,sm_6,sm_7,sm_8,sm_9,sm_10,sm_11,sm_12,sm_13,sm_14,sm_15,sm_16,sm_17,sm_18,sm_19,sm_20,sm_21,sm_22,sm_23,sm_24,sm_25,sm_26,sm_27,sm_28,sm_29,sm_30,sm_31,sm_32,sm_33,sm_34,sm_35,sm_36,sm_37,sm_38,sm_39,sm_40,sm_41,sm_42,sm_43,sm_44,sm_45,sm_46,sm_47,sm_48,sm_49,sm_50,sm_51,sm_52,sm_53,sm_54,sm_55,sm_56,sm_57,sm_58,sm_59,sm_60,sm_61,sm_62,sm_63,sm_64,sm_65,sm_66,sm_67,sm_68,sm_69,sm_70,sm_71,sm_72,sm_73,sm_74,sm_75,sm_76,sm_77,sm_78,sm_79,sm_80,sm_81,sm_82,sm_83,sm_84,sm_85,sm_86,sm_87,sm_88,sm_89,sm_90,sm_91,sm_92,sm_93,sm_94,sm_95,sm_96,sm_97,sm_98,sm_99,sm_100,sm_101,sm_102,sm_103,sm_104,sm_105,sm_106,sm_107,sm_108,sm_109,sm_110,sm_111,sm_112,sm_113,sm_114,sm_115,sm_116,sm_117,sm_118,sm_119,sm_120,sm_121,sm_122,sm_123,sm_124,sm_125,sm_126,sm_127,sm_128,sm_129,sm_130,sm_131,sm_132,sm_133,sm_134,sm_135,sm_136,sm_137,sm_138,sm_139,sm_140,sm_141,sm_142,sm_143,sm_144,sm_145,sm_146,sm_147,sm_148,sm_149,sm_150,sm_151,sm_152,sm_153,sm_154,sm_155,sm_156,sm_157,sm_158,sm_159,sm_160,sm_161,sm_162,sm_163,sm_164,sm_165,sm_166,sm_167,sm_168,sm_169,sm_170,sm_171,sm_172,sm_173,sm_174,sm_175,sm_176,sm_177,sm_178,sm_179,sm_180,sm_181,sm_182,sm_183,sm_184,sm_185,sm_186,sm_187,sm_188,sm_189,sm_190,sm_191,sm_192,sm_193,sm_194,sm_195
A01,73.51669471981023,14.214586429859182,4.727021890614529,5.692333988957552,6.628991931466025,13.87146608741275,21.478386819107364,1.167295198301759,2.232831599686214,0.9097613317859625,4.316556471910347,0.5756460831992777,1.382789253273813,0.9007944021496576,14.214586429859182,73.51669471981023,6.022359016038202,7.740617047823433,17.478675518483335,9.01342509582796,1.3411044688487268,3.6323887016319194,1.425866535235169,1.191908023006954,6.629907399136927,0.6334319936847047,0.9919677181607339,1.214564268814205,4.727021890614529,6.022359016038202,73.51669471981023,15.635001693170398,7.453598974619721,5.973591593095604,0.5998698395525427,1.0553570387544042,0.9972698031930394,2.682137833947897,0.6117857856219339,7.911171121701576,1.1239077499497199,1.6136065947688099,5.692333988957552,7.740617047823433,15.635001693170398,36.85810519942594,18.227185281047184,13.837856577862768,0.657042164840658,1.9369715842966277,2.186189562291103,11.489705014431621,0.7316540883212255,0.9399588999005543,1.7473044858128937,1.9687754958513177,6.628991931466025,17.478675518483335,7.453598974619721,18.227185281047184,36.85810519942594,8.587892915313542,0.75089716081219,12.35973004324273,1.4464512389791517,2.272442318348146,1.0729795340268573,0.6637671201037109,0.8798308718272903,3.75402986097921,13.87146608741275,9.01342509582796,5.973591593095604,13.837856577862768,8.587892915313542,36.85810519942594,1.4245932192319315,1.3094476600645728,12.136969293342943,2.1470465875520977,1.1504648454963338,0.5509901652394043,6.039798255038584,0.8333618724000591,21.478386819107364,1.3411044688487268,0.5998698395525427,0.657042164840658,0.75089716081219,1.4245932192319315,0.5,0.12735264358028786,0.20988093685220835,0.10570190799770035,0.32798632594854427,0.07651481846513547,0.16361568887076114,0.11823155532572947,1.167295198301759,3.6323887016319194,1.0553570387544042,1.9369715842966277,12.35973004324273,1.3094476600645728,0.12735264358028786,0.5,0.22756355285813054,0.23636106606278937,0.21286704575953408,0.10002000275217626,0.13151480908388943,0.42794911117879847,2.232831599686214,1.425866535235169,0.9972698031930394,2.186189562291103,1.4464512389791517,12.136969293342943,0.20988093685220835,0.22756355285813054,0.5,0.25348776050927235,0.18305113442088777,0.09102287480007325,0.7454545449483503,0.13815466260018,0.9097613317859625,1.191908023006954,2.682137833947897,11.489705014431621,2.272442318348146,2.1470465875520977,0.10570190799770035,0.23636106606278937,0.25348776050927235,0.5,0.11663559958659739,0.16449760592427393,0.3112059621805563,0.2792311676035594,4.316556471910347,6.629907399136927,0.6117857856219339,0.7316540883212255,1.0729795340268573,1.1504648454963338,0.32798632594854427,0.21286704575953408,0.18305113442088777,0.11663559958659739,0.5,0.07007745034937309,0.13232583236853931,0.10543723197256777,0.5756460831992777,0.6334319936847047,7.911171121701576,0.9399588999005543,0.6637671201037109,0.5509901652394043,0.07651481846513547,0.10002000275217626,0.09102287480007325,0.16449760592427393,0.07007745034937309,0.5,0.10846430595328593,0.1561148042165798,1.382789253273813,0.9919677181607339,1.1239077499497199,1.7473044858128937,0.8798308718272903,6.039798255038584,0.16361568887076114,0.13151480908388943,0.7454545449483503,0.3112059621805563,0.13232583236853931,0.10846430595328593,0.5,0.11147482750546886,0.9007944021496576,1.214564268814205,1.6136065947688099,1.9687754958513177,3.75402986097921,0.8333618724000591,0.11823155532572947,0.42794911117879847,0.13815466260018,0.2792311676035594,0.10543723197256777,0.1561148042165798,0.11147482750546886,0.5
A02,73.51669471981023,12.249685851580708,7.06207738834209,15.648400332050612,8.508153540962752,8.896693873890188,2.6062878909762888,1.2753555004263049,1.1275868635397543,0.954454927393285,5.597457817328425,0.741913580608136,1.1366185063294152,0.0,12.249685851580708,73.51669471981023,4.654165614719661,5.8162213899030695,5.51454802560521,14.029016817983447,0.9891779029031117,1.570282317159115,11.311404211701822,1.773881431724412,3.6860471954796914,0.5505471628540396,0.7850630413912844,0.0,7.06207738834209,4.654165614719661,73.51669471981023,8.80773508254456,16.051174242538863,5.826402174909641,1.4290566093832149,1.2293812439688299,0.5498914621416673,0.9347881129906815,0.7148258635068253,6.34139273411118,1.7705069711141415,0.0,15.648400332050612,5.8162213899030695,8.80773508254456,36.85810519942594,24.955022479149203,7.450769031264282,12.048336518306746,1.3534055053065555,0.6099893680256547,0.8462384381875199,0.9496591354373094,0.7746623642977335,3.3857428954382014,0.0,8.508153540962752,5.51454802560521,16.051174242538863,24.955022479149203,36.85810519942594,12.889335491187998,3.361516440593064,2.6772799070209703,0.5345783011693996,1.3413538767390965,0.7941238876720131,0.9238761586252346,1.6122011124466016,0.0,8.896693873890188,14.029016817983447,5.826402174909641,7.450769031264282,12.889335491187998,36.85810519942594,1.277328793554251,11.766676757072794,1.0306615208941647,8.977070900476466,1.1864317850341835,0.5130195065198985,0.7680305023713354,0.0,2.6062878909762888,0.9891779029031117,1.4290566093832149,12.048336518306746,3.361516440593064,1.277328793554251,0.5,0.23418487000880328,0.1021618979951983,0.14198688122870387,0.16329833679268582,0.12510991361558035,0.47545989371470954,0.0,1.2753555004263049,1.570282317159115,1.2293812439688299,1.3534055053065555,2.6772799070209703,11.766676757072794,0.23418487000880328,0.5,0.1291095532459907,0.7775205600268342,0.15881909324706248,0.0971621281431876,0.1338855380579813,0.0,1.1275868635397543,11.311404211701822,0.5498914621416673,0.6099893680256547,0.5345783011693996,1.0306615208941647,0.1021618979951983,0.1291095532459907,0.5,0.1613067645299047,0.2503655190631484,0.07345093796887117,0.09931607418969352,0.0,0.954454927393285,1.773881431724412,0.9347881129906815,0.8462384381875199,1.3413538767390965,8.977070900476466,0.14198688122870387,0.7775205600268342,0.1613067645299047,0.5,0.14096484505111181,0.09119722675489338,0.11726362998747797,0.0,5.597457817328425,3.6860471954796914,0.7148258635068253,0.9496591354373094,0.7941238876720131,1.1864317850341835,0.16329833679268582,0.15881909324706248,0.2503655190631484,0.14096484505111181,0.5,0.07721895819304578,0.09312946162576304,0.0,0.741913580608136,0.5505471628540396,6.34139273411118,0.7746623642977335,0.9238761586252346,0.5130195065198985,0.12510991361558035,0.0971621281431876,0.07345093796887117,0.09119722675489338,0.07721895819304578,0.5,0.18355104990886809,0.0,1.1366185063294152,0.7850630413912844,1.7705069711141415,3.3857428954382014,1.6122011124466016,0.7680305023713354,0.47545989371470954,0.1338855380579813,0.09931607418969352,0.11726362998747797,0.09312946162576304,0.18355104990886809,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A03,73.51669471981023,9.497986417921926,7.134961413219247,19.217426812627565,8.493973378566217,7.205764080170335,3.5389152594529736,1.187378062423496,0.873493774553406,0.7333503269157069,4.8140852296450145,1.2966287932431002,0.0,0.0,9.497986417921926,73.51669471981023,4.86179998246184,6.57900016449817,6.104640704153978,16.69939524626473,1.3842536067636275,8.379994202941264,1.3903528758504318,0.5825246821813626,1.7159656226693438,0.8733886038364519,0.0,0.0,7.134961413219247,4.86179998246184,73.51669471981023,8.159530462770565,15.77009296154155,6.1739395356013596,1.1633650611673183,0.553352166308294,1.3296704618238298,5.796228641030977,0.7393379067883592,1.9449214178955503,0.0,0.0,19.217426812627565,6.57900016449817,8.159530462770565,36.85810519942594,26.15352090500729,8.269123632847048,11.105521275186012,0.6756028423861191,0.9638518644061023,0.7073188655897333,1.0185258846226453,3.0389672619579677,0.0,0.0,8.493973378566217,6.104640704153978,15.77009296154155,26.15352090500729,36.85810519942594,12.63260135635234,2.890554313468142,0.5665284906786616,1.9059755485658698,0.9261017979412596,0.7405282564968159,2.0818695761536095,0.0,0.0,7.205764080170335,16.69939524626473,6.1739395356013596,8.269123632847048,12.63260135635234,36.85810519942594,1.9033586900063888,1.028420913914547,5.345813415149816,0.549132887900568,0.8816292877354022,0.803789259239835,0.0,0.0,3.5389152594529736,1.3842536067636275,1.1633650611673183,11.105521275186012,2.890554313468142,1.9033586900063888,0.5,0.13322391189303182,0.19303322423258854,0.09871591859181897,0.215677808896902,0.2723870374789127,0.0,0.0,1.187378062423496,8.379994202941264,0.553352166308294,0.6756028423861191,0.5665284906786616,1.028420913914547,0.13322391189303182,0.5,0.11747205156979662,0.07184656522660451,0.2694852283305795,0.09287708135836349,0.0,0.0,0.873493774553406,1.3903528758504318,1.3296704618238298,0.9638518644061023,1.9059755485658698,5.345813415149816,0.19303322423258854,0.11747205156979662,0.5,0.11261331767001018,0.11809548206034547,0.12026415442730509,0.0,0.0,0.7333503269157069,0.5825246821813626,5.796228641030977,0.7073188655897333,0.9261017979412596,0.549132887900568,0.09871591859181897,0.07184656522660451,0.11261331767001018,0.5,0.07834648953039591,0.19626359329583323,0.0,0.0,4.8140852296450145,1.7159656226693438,0.7393379067883592,1.0185258846226453,0.7405282564968159,0.8816292877354022,0.215677808896902,0.2694852283305795,0.11809548206034547,0.07834648953039591,0.5,0.09338573432221701,0.0,0.0,1.2966287932431002,0.8733886038364519,1.9449214178955503,3.0389672619579677,2.0818695761536095,0.803789259239835,0.2723870374789127,0.09287708135836349,0.12026415442730509,0.19626359329583323,0.09338573432221701,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A04,73.51669471981023,8.272620797876346,11.075662592163521,10.403183096233818,22.795187421252113,10.056064478532516,12.298948451057253,2.1551661002260647,1.0126868614227453,0.8254288163800076,1.2270124989543258,0.0,0.0,0.0,8.272620797876346,73.51669471981023,5.1134217796767985,27.639779918587365,11.176243375540743,6.050752752392349,0.952029236751321,0.7071177799916603,1.0379080047499265,4.680755781629802,2.039440281169895,0.0,0.0,0.0,11.075662592163521,5.1134217796767985,73.51669471981023,5.563078218620614,5.625860462986887,22.747817348038915,1.1431125480532547,11.262020964154333,2.0697083413778907,0.5498728486283053,0.7265069665982571,0.0,0.0,0.0,10.403183096233818,27.639779918587365,5.563078218620614,36.85810519942594,23.68302545756856,9.46697907421004,0.8815563104234054,0.7547148977856706,1.2390304867408675,1.109715736963441,1.4557577939627098,0.0,0.0,0.0,22.795187421252113,11.176243375540743,5.625860462986887,23.68302545756856,36.85810519942594,6.337223119328524,1.5351621509027131,0.7857471294499616,0.816606953851375,0.8945159809132097,2.874347820225192,0.0,0.0,0.0,10.056064478532516,6.050752752392349,22.747817348038915,9.46697907421004,6.337223119328524,36.85810519942594,0.8127856528427932,2.006766992400266,7.5779253754689675,0.490374067434638,0.6942360668831752,0.0,0.0,0.0,12.298948451057253,0.952029236751321,1.1431125480532547,0.8815563104234054,1.5351621509027131,0.8127856528427932,0.5,0.2120899569539839,0.09430083376805176,0.114354149647281,0.13049678678460566,0.0,0.0,0.0,2.1551661002260647,0.7071177799916603,11.262020964154333,0.7547148977856706,0.7857471294499616,2.006766992400266,0.2120899569539839,0.5,0.18603583261654555,0.07291892677314422,0.08384128543307481,0.0,0.0,0.0,1.0126868614227453,1.0379080047499265,2.0697083413778907,1.2390304867408675,0.816606953851375,7.5779253754689675,0.09430083376805176,0.18603583261654555,0.5,0.08959540113862345,0.11913005478014789,0.0,0.0,0.0,0.8254288163800076,4.680755781629802,0.5498728486283053,1.109715736963441,0.8945159809132097,0.490374067434638,0.114354149647281,0.07291892677314422,0.08959540113862345,0.5,0.23976752676750152,0.0,0.0,0.0,1.2270124989543258,2.039440281169895,0.7265069665982571,1.4557577939627098,2.874347820225192,0.6942360668831752,0.13049678678460566,0.08384128543307481,0.11913005478014789,0.23976752676750152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A05,73.51669471981023,7.540632993235977,13.642054713348392,53.306701026467806,6.085985215090593,13.303705939766349,14.024551430169486,1.1038488793042778,1.1183399393116582,0.8478353153694973,0.0,0.0,0.0,0.0,7.540632993235977,73.51669471981023,7.6242983713227535,6.216581309893959,46.18515879135241,8.658804636398852,0.9514644575562329,1.2465866751217158,6.130912703069948,2.3856974893758816,0.0,0.0,0.0,0.0,13.642054713348392,7.6242983713227535,73.51669471981023,13.693939015846954,5.957164012460554,31.85422354356744,1.0864759054351467,9.269417712383573,0.7395794376969458,0.707795843414772,0.0,0.0,0.0,0.0,53.306701026467806,6.216581309893959,13.693939015846954,36.85810519942594,6.038047479667081,25.901152889081633,2.541122694869123,1.1860019541350213,0.7166482624142143,0.7459723143273,0.0,0.0,0.0,0.0,6.085985215090593,46.18515879135241,5.957164012460554,6.038047479667081,36.85810519942594,8.938913028400275,0.7138405623899733,0.9270842443179779,1.8384896576153333,4.3352956692062525,0.0,0.0,0.0,0.0,13.303705939766349,8.658804636398852,31.85422354356744,25.901152889081633,8.938913028400275,36.85810519942594,0.9840132142493226,3.2302211956833657,0.7158527248269875,0.8071409122107531,0.0,0.0,0.0,0.0,14.024551430169486,0.9514644575562329,1.0864759054351467,2.541122694869123,0.7138405623899733,0.9840132142493226,0.5,0.09944971980170102,0.17447141014654347,0.1117440414540085,0.0,0.0,0.0,0.0,1.1038488793042778,1.2465866751217158,9.269417712383573,1.1860019541350213,0.9270842443179779,3.2302211956833657,0.09944971980170102,0.5,0.09868217389292663,0.10472458957117008,0.0,0.0,0.0,0.0,1.1183399393116582,6.130912703069948,0.7395794376969458,0.7166482624142143,1.8384896576153333,0.7158527248269875,0.17447141014654347,0.09868217389292663,0.5,0.2580450335115167,0.0,0.0,0.0,0.0,0.8478353153694973,2.3856974893758816,0.707795843414772,0.7459723143273,4.3352956692062525,0.8071409122107531,0.1117440414540085,0.10472458957117008,0.2580450335115167,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A06,73.51669471981023,14.362012268941896,13.111528559200234,63.41856939015702,21.718715995673897,19.66542437143631,1.17745698895998,1.1107140657045018,8.91946314517507,0.0,0.0,0.0,0.0,0.0,14.362012268941896,73.51669471981023,7.621593881662793,10.509921640045096,39.80962869243863,6.198433606887702,12.084034841856093,1.1030063478768424,1.133023060604399,0.0,0.0,0.0,0.0,0.0,13.111528559200234,7.621593881662793,73.51669471981023,10.281624318694053,6.185958223303144,38.87738751707421,1.0829960796116969,10.832422660609048,3.3626095664100046,0.0,0.0,0.0,0.0,0.0,63.41856939015702,10.509921640045096,10.281624318694053,36.85810519942594,23.085311112386023,22.28249926277327,0.8872402219315207,0.864666010918036,4.253184525595862,0.0,0.0,0.0,0.0,0.0,21.718715995673897,39.80962869243863,6.185958223303144,23.085311112386023,36.85810519942594,7.02797463574339,1.8738169320524563,0.7107017945333347,1.3141117604384285,0.0,0.0,0.0,0.0,0.0,19.66542437143631,6.198433606887702,38.87738751707421,22.28249926277327,7.02797463574339,36.85810519942594,0.7084134106107163,1.7759820551850056,2.6152012903599275,0.0,0.0,0.0,0.0,0.0,1.17745698895998,12.084034841856093,1.0829960796116969,0.8872402219315207,1.8738169320524563,0.7084134106107163,0.5,0.19011787500656505,0.11709995945237249,0.0,0.0,0.0,0.0,0.0,1.1107140657045018,1.1030063478768424,10.832422660609048,0.864666010918036,0.7107017945333347,1.7759820551850056,0.19011787500656505,0.5,0.20225286409064194,0.0,0.0,0.0,0.0,0.0,8.91946314517507,1.133023060604399,3.3626095664100046,4.253184525595862,1.3141117604384285,2.6152012903599275,0.11709995945237249,0.20225286409064194,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A07,73.51669471981023,7.614215546367922,74.40654688483444,12.472611238920749,6.646707708640234,14.794014277227575,1.671909282720186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.614215546367922,73.51669471981023,6.223568627123668,6.028112391306937,47.495095111918296,6.734166904777627,0.6674005552700482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.40654688483444,6.223568627123668,36.85810519942594,11.787854456869592,6.657201935580005,22.729930471970523,1.306248285189038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.472611238920749,6.028112391306937,11.787854456869592,73.51669471981023,6.346281369041108,35.397545463612,8.153911878636151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.646707708640234,47.495095111918296,6.657201935580005,6.346281369041108,36.85810519942594,9.168812848355998,0.5925962319204718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.794014277227575,6.734166904777627,22.729930471970523,35.397545463612,9.168812848355998,36.85810519942594,1.9509177314412822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.671909282720186,0.6674005552700482,1.306248285189038,8.153911878636151,0.5925962319204718,1.9509177314412822,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A08,73.51669471981023,7.596067874333984,13.251453445884557,67.17280371690079,6.632162127155739,14.681826936044061,1.9519745818519634,1.0681804645872839,0.0,0.0,0.0,0.0,0.0,0.0,7.596067874333984,73.51669471981023,7.0070401558355835,6.356851396351144,47.52557733003387,7.7880638683234995,0.7690179759812903,5.687261453589661,0.0,0.0,0.0,0.0,0.0,0.0,13.251453445884557,7.0070401558355835,73.51669471981023,12.323475925372366,7.220830671447448,37.460461581167806,8.977280205123625,0.6892748931464066,0.0,0.0,0.0,0.0,0.0,0.0,67.17280371690079,6.356851396351144,12.323475925372366,36.85810519942594,6.920998540905078,22.971917039752412,1.462339945057587,0.7108754845943877,0.0,0.0,0.0,0.0,0.0,0.0,6.632162127155739,47.52557733003387,7.220830671447448,6.920998540905078,36.85810519942594,10.758264443780591,0.6656945391301909,1.514091310714592,0.0,0.0,0.0,0.0,0.0,0.0,14.681826936044061,7.7880638683234995,37.460461581167806,22.971917039752412,10.758264443780591,36.85810519942594,2.164203794413406,0.653612389230189,0.0,0.0,0.0,0.0,0.0,0.0,1.9519745818519634,0.7690179759812903,8.977280205123625,1.462339945057587,0.6656945391301909,2.164203794413406,0.5,0.0918339706908929,0.0,0.0,0.0,0.0,0.0,0.0,1.0681804645872839,5.687261453589661,0.6892748931464066,0.7108754845943877,1.514091310714592,0.653612389230189,0.0918339706908929,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A09,73.51669471981023,4.807310787028211,5.689773829593101,19.025998948765494,0.9751843019922709,0.6749995110166306,0.8898266488277771,2.0734085716494324,5.376689882585446,0.0,0.0,0.0,0.0,0.0,4.807310787028211,73.51669471981023,15.541918599200446,5.1321008740944585,2.403115775298229,12.246517416932365,1.9152555772025959,0.8186888843354485,0.5572740040359632,0.0,0.0,0.0,0.0,0.0,5.689773829593101,15.541918599200446,36.85810519942594,11.019308469006418,12.280229602384178,1.4567032721847935,7.477216071136327,1.2030403559616913,0.4818682838849381,0.0,0.0,0.0,0.0,0.0,19.025998948765494,5.1321008740944585,11.019308469006418,36.85810519942594,1.880428643131993,0.6673510406001284,1.207056765567943,7.285562525874589,0.9706804287784193,0.0,0.0,0.0,0.0,0.0,0.9751843019922709,2.403115775298229,12.280229602384178,1.880428643131993,0.5,0.24153456216299868,0.7853976566741602,0.21336989490336894,0.08124481922053545,0.0,0.0,0.0,0.0,0.0,0.6749995110166306,12.246517416932365,1.4567032721847935,0.6673510406001284,0.24153456216299868,0.5,0.1713965849704063,0.10515895404407465,0.0760906978701618,0.0,0.0,0.0,0.0,0.0,0.8898266488277771,1.9152555772025959,7.477216071136327,1.207056765567943,0.7853976566741602,0.1713965849704063,0.5,0.14443149001046326,0.0820452570916985,0.0,0.0,0.0,0.0,0.0,2.0734085716494324,0.8186888843354485,1.2030403559616913,7.285562525874589,0.21336989490336894,0.10515895404407465,0.14443149001046326,0.5,0.15553312652894882,0.0,0.0,0.0,0.0,0.0,5.376689882585446,0.5572740040359632,0.4818682838849381,0.9706804287784193,0.08124481922053545,0.0760906978701618,0.0820452570916985,0.15553312652894882,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10,73.51669471981023,10.286576915570805,7.079878467921285,32.18526900302325,8.903378954096638,8.671922423688759,1.5012695667110052,1.341569280154817,1.3809735197303386,0.7148920573969596,0.9395520330837319,0.0,0.0,0.0,10.286576915570805,73.51669471981023,4.91771213670604,7.4027348942743245,5.976244493271605,17.775898366454445,3.859921089816906,0.8498679775661594,7.252742651773452,0.59045819773241,1.4707517610936,0.0,0.0,0.0,7.079878467921285,4.91771213670604,73.51669471981023,7.083843073518954,17.072918741177396,6.261299048848969,0.8523270494263484,3.2238292615567703,0.5605999288592219,6.077906138645881,1.3515993280396794,0.0,0.0,0.0,32.18526900302325,7.4027348942743245,7.083843073518954,36.85810519942594,18.651222707390794,10.223172834560811,1.3647970239048903,2.324484907454014,0.8017665460695675,0.6484002508508058,0.9943175171831224,0.0,0.0,0.0,8.903378954096638,5.976244493271605,17.072918741177396,18.651222707390794,36.85810519942594,12.2359753231745,1.459182628381395,11.059493337954853,0.5709522905499582,1.0510329485227352,1.7930555524736769,0.0,0.0,0.0,8.671922423688759,17.775898366454445,6.261299048848969,10.223172834560811,12.2359753231745,36.85810519942594,12.123523378718058,1.252954759097881,1.1013486590284165,0.5600171855293767,4.924604325281631,0.0,0.0,0.0,1.5012695667110052,3.859921089816906,0.8523270494263484,1.3647970239048903,1.459182628381395,12.123523378718058,0.5,0.16951351556925176,0.2394605883946815,0.08336852974296441,0.46210883981295586,0.0,0.0,0.0,1.341569280154817,0.8498679775661594,3.2238292615567703,2.324484907454014,11.059493337954853,1.252954759097881,0.16951351556925176,0.5,0.08493201845696581,0.22858973137118602,0.194536714975626,0.0,0.0,0.0,1.3809735197303386,7.252742651773452,0.5605999288592219,0.8017665460695675,0.5709522905499582,1.1013486590284165,0.2394605883946815,0.08493201845696581,0.5,0.07005219465279255,0.12246149454683056,0.0,0.0,0.0,0.7148920573969596,0.59045819773241,6.077906138645881,0.6484002508508058,1.0510329485227352,0.5600171855293767,0.08336852974296441,0.22858973137118602,0.07005219465279255,0.5,0.11473752749608716,0.0,0.0,0.0,0.9395520330837319,1.4707517610936,1.3515993280396794,0.9943175171831224,1.7930555524736769,4.924604325281631,0.46210883981295586,0.194536714975626,0.12246149454683056,0.11473752749608716,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
